0.017	0.121	0.008	-0.027	-0.002	-0.014	-0.079	0.028	-0.098	0.040	
0.021	0.026	-0.040	0.051	-0.095	0.083	0.073	0.019	0.026	-0.144	
-0.185	0.013	-0.115	0.074	0.065	0.144	0.133	-0.176	0.095	-0.009	
0.203	-0.024	0.126	-0.040	-0.099	-0.165	-0.167	0.166	-0.093	0.078	
-0.120	-0.085	-0.069	0.074	0.062	0.043	0.093	-0.058	0.198	-0.108	
-0.013	-0.009	-0.010	0.017	0.081	-0.045	0.064	-0.084	0.033	-0.002	
0.131	-0.033	0.139	-0.101	-0.082	-0.093	-0.107	0.109	-0.063	0.067	
-0.035	-0.037	0.044	-0.008	0.036	0.030	-0.014	-0.020	-0.082	0.093	
-0.047	0.047	-0.133	0.023	0.129	0.071	0.060	-0.098	0.053	-0.038	
0.025	0.000	0.029	-0.039	-0.053	-0.038	-0.018	0.103	-0.039	0.013	
