0.015	-0.045	0.046	0.016	-0.040	-0.039	-0.022	0.027	0.015	0.031	
0.007	-0.028	0.019	0.024	0.010	-0.006	-0.010	0.017	0.006	-0.026	
0.016	-0.068	0.028	0.080	0.000	-0.064	0.043	0.019	0.017	-0.062	
-0.009	-0.021	0.026	0.016	-0.025	-0.038	0.004	0.019	-0.003	0.029	
0.019	0.010	-0.026	-0.013	0.006	0.027	0.066	-0.033	-0.025	-0.043	
0.074	-0.017	-0.026	-0.007	0.030	0.016	0.053	-0.023	-0.064	-0.060	
-0.001	-0.045	0.011	0.058	0.011	-0.045	0.079	-0.016	0.030	-0.076	
-0.029	0.063	-0.008	-0.063	-0.007	0.029	-0.070	-0.004	0.009	0.076	
-0.034	0.004	0.022	-0.017	-0.050	-0.005	-0.040	0.036	0.015	0.076	
-0.049	0.116	-0.077	-0.064	0.057	0.091	-0.075	-0.033	0.000	0.038	
